Fire Name,Fire_ID,Fire_SegID,Database,State,UTM_Zone,UTM_X,UTM_Y,Year,GaugeDist_m,StormDur_H,StormAccum_mm,StormAvgI_mm/h,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,ContributingArea_km2,PropHM23,dNBR/1000,KF,Acc015_mm,Acc030_mm,Acc060_mm,Response
Buckweed,bck,bck_1035,Training,CA,11,368133.5165,3823231.989,2007,1998.67,26.883,5.4,0.2,3.2,2,2,0.3787667,0.217932682,0.297852875,0.25,0.8,1,2,0
Buckweed,bck,bck_1090,Training,CA,11,367871.0165,3822984.489,2007,2368.93,26.883,5.4,0.2,3.2,2,2,0.6896154,0.061248741,0.224895584,0.25,0.8,1,2,0
Buckweed,bck,bck_1570,Training,CA,11,367503.5165,3821741.989,2007,3956.74,26.883,5.4,0.2,3.2,2,2,2.7573118,0.042967882,0.06553743,0.2485406,0.8,1,2,0
Buckweed,bck,bck_235,Training,CA,11,371108.5165,3824991.989,2007,1734.72,27.883,3,0.11,1.6,1.2,0.8,0.613415,0.092164478,0.141710999,0.25,0.4,0.6,0.8,0
Buckweed,bck,bck_363,Training,CA,11,370763.5165,3824576.989,2007,1801.04,27.883,3,0.11,1.6,1.2,0.8,0.538875,0.058352671,0.210157913,0.25,0.4,0.6,0.8,0
Buckweed,bck,bck_440,Training,CA,11,370518.5165,3824426.989,2007,2123.11,27.883,3,0.11,1.6,1.2,0.8,0.33451,0.156562519,0.337675507,0.25,0.4,0.6,0.8,0
Buckweed,bck,bck_469,Training,CA,11,369146.0165,3824489.489,2007,1035.83,26.883,5.4,0.2,3.2,2,2,0.7706,0.261436386,0.208135666,0.25,0.8,1,2,0
Buckweed,bck,bck_604,Training,CA,11,369843.5165,3824206.989,2007,1899.12,26.883,5.4,0.2,3.2,2,2,0.1617,0.059440675,0.315326691,0.25,0.8,1,2,0
Buckweed,bck,bck_611,Training,CA,11,369283.5165,3824121.989,2007,1333.23,26.883,5.4,0.2,3.2,2,2,0.07905,0.031438735,0.3384104,0.25,0.8,1,2,0
Buckweed,bck,bck_643,Training,CA,11,368648.5165,3824011.989,2007,1055.77,26.883,5.4,0.2,3.2,2,2,3.0174727,0.043823137,0.062548531,0.2472831,0.8,1,2,0
Buckweed,bck,bck_647,Training,CA,11,368978.5165,3824011.989,2007,1211.84,26.883,5.4,0.2,3.2,2,2,0.2928667,0.084582825,0.248775864,0.25,0.8,1,2,0
Buckweed,bck,bck_651,Training,CA,11,368543.5165,3824139.489,2007,997.042522,26.883,5.4,0.2,3.2,2,2,0.0380143,0.187328587,0.129095383,0.25,0.8,1,2,0
Buckweed,bck,bck_688,Training,CA,11,369043.5165,3824061.989,2007,1190.92,26.883,5.4,0.2,3.2,2,2,0.1763375,0.114014301,0.304394623,0.25,0.8,1,2,0
Buckweed,bck,bck_736,Training,CA,11,368376.0165,3823799.489,2007,1262.05,26.883,5.4,0.2,3.2,2,2,0.9858278,0.291070766,0.235931793,0.25,0.8,1,2,0
Buckweed,bck,bck_813,Training,CA,11,368633.5165,3823761.989,2007,1269.79,26.883,5.4,0.2,3.2,2,2,0.060305,0.113751984,0.315949493,0.25,0.8,1,2,0
Buckweed,bck,bck_853,Training,CA,11,368171.0165,3823611.989,2007,1531.57,26.883,5.4,0.2,3.2,2,2,0.03985,0.361030197,0.261058685,0.25,0.8,1,2,0
Blaisdell,bla,bla_122,Training,CA,11,532280.1647,3749794.79,2005,3535.95,34.85,24.89,0.71,9.14,7.62,4.06,3.5556591,0.021712091,0.069520134,0.0554303,2.285,3.81,4.06,0
Blaisdell,bla,bla_122,Training,CA,11,532280.1647,3749794.79,2005,3535.95,15.067,38.1,2.53,7.11,6.1,5.33,3.5556591,0.021712091,0.069520134,0.0554303,1.7775,3.05,5.33,0
Blaisdell,bla,bla_236,Training,CA,11,534595.1647,3749114.79,2005,782.874116,34.85,24.89,0.71,9.14,7.62,4.06,1.9021167,0.079713044,0.07606485,0.0542726,2.285,3.81,4.06,0
Blaisdell,bla,bla_236,Training,CA,11,534595.1647,3749114.79,2005,782.874116,15.067,38.1,2.53,7.11,6.1,5.33,1.9021167,0.079713044,0.07606485,0.0542726,1.7775,3.05,5.33,0
Blaisdell,bla,bla_346,Training,CA,11,535057.6647,3748597.29,2005,132.344873,34.85,24.89,0.71,9.14,7.62,4.06,0.4660235,0.001074681,0.080441063,0.0509787,2.285,3.81,4.06,0
Blaisdell,bla,bla_346,Training,CA,11,535057.6647,3748597.29,2005,132.344873,15.067,38.1,2.53,7.11,6.1,5.33,0.4660235,0.001074681,0.080441063,0.0509787,1.7775,3.05,5.33,0
Blaisdell,bla,bla_451,Training,CA,11,534835.1647,3748244.79,2005,552.859276,34.85,24.89,0.71,9.14,7.62,4.06,5.0281906,0.0197688,0.061923843,0.0782609,2.285,3.81,4.06,0
Blaisdell,bla,bla_451,Training,CA,11,534835.1647,3748244.79,2005,552.859276,15.067,38.1,2.53,7.11,6.1,5.33,5.0281906,0.0197688,0.061923843,0.0782609,1.7775,3.05,5.33,0
Blaisdell,bla,bla_472,Training,CA,11,534257.6647,3747992.29,2005,1166.22,34.85,24.89,0.71,9.14,7.62,4.06,4.6308999,0.007514808,0.019152323,0.0969892,2.285,3.81,4.06,0
Blaisdell,bla,bla_472,Training,CA,11,534257.6647,3747992.29,2005,1166.22,15.067,38.1,2.53,7.11,6.1,5.33,4.6308999,0.007514808,0.019152323,0.0969892,1.7775,3.05,5.33,0
Bear,br,br_1529,Test,ID,11,732057.4531,5110115.734,2000,972.417552,0,21.082,0,53.848,33.528,19.304,4.29426,0.504194489,0.437903076,0.2269799,13.462,16.764,19.304,1
Bear,br,br_1591,Test,ID,11,732322.4531,5109965.734,2000,1406.17,0,21.082,0,53.848,33.528,19.304,0.1409,0.689105988,0.546081848,0.23,13.462,16.764,19.304,1
Bear,br,br_1675,Test,ID,11,732524.9531,5109798.234,2000,1773.31,0,21.082,0,53.848,33.528,19.304,0.2074,0.689556274,0.654032471,0.23,13.462,16.764,19.304,1
Bear,br,br_1681,Test,ID,11,733557.4531,5109745.734,2000,3109.31,0,21.082,0,53.848,33.528,19.304,0.3075611,0.184920883,0.680323486,0.2294236,13.462,16.764,19.304,1
Bear,br,br_1752,Test,ID,11,732809.9531,5109693.234,2000,2168.19,0,21.082,0,53.848,33.528,19.304,0.2133632,0.665076904,0.596327332,0.23,13.462,16.764,19.304,1
