,fire,low,low med,med high,high
0,0,490034,1410087,1740831,51272
1,1,260210,2205181,2709791,421797
2,4,6379,30113,20764,0
3,5,15063,72461,39019,3537
4,8,34624,342677,252454,48414
5,9,70884,275287,242533,36353
6,10,78547,331675,330004,24078
7,11,84818,322769,809306,410553
8,16,137567,141552,155363,33838
9,19,1878688,170985,288053,65744
10,20,96920,326861,821762,283415
11,22,216236,612362,225484,2428
12,23,5163,17914,155207,27309
13,24,300745,4212414,3589087,318708
14,25,47771,229555,39244,487
15,26,1866635,2056417,4226061,508534
16,27,53864,261865,481556,12471
17,28,33429,39333,97694,6044
18,29,0,90709,8874,2350
19,30,4290,13042,11282,943
20,31,20314,56502,24417,0
21,32,16339,236901,49415,0
22,33,15773,23095,20641,11967
23,34,124552,221313,90349,34
24,35,102009,99561,66101,13091
25,36,48468,229905,236917,6510
26,37,33585,657877,77388,0
27,39,2270466,183830,172037,2767
28,41,48885,177980,421382,18620
29,42,167601,1190103,1831850,220347
30,43,478515,686196,605570,103702
31,44,325114,2047718,2368235,218342
32,45,92677,1616970,741536,41843
33,46,194175,281463,203502,9183
34,48,557745,1015720,499523,49903
35,49,3841,22629,31313,8120
36,50,24851,519701,449090,4907
